emp_no,first_name,last_name,from_date,title
82060,Arvind,Michaeli,1998-02-03,Engineer
82063,Shaunak,Plump,1998-09-06,Engineer
82065,Christophe,Anger,1988-06-26,Senior Engineer
82066,Masasuke,Birch,1996-01-17,Senior Staff
82107,Gunilla,Heping,2000-04-02,Senior Staff
82110,Vugranam,Gecsel,1995-11-10,Senior Staff
82116,Chiradeep,Shiratori,1994-09-18,Senior Engineer
82123,Tokuyasu,Dayana,1987-09-24,Senior Engineer
82131,Mayuko,Kulisch,1995-07-30,Senior Staff
82137,Panayotis,Thibadeau,1991-03-17,Senior Staff
82139,Satoru,Zucker,1992-12-17,Senior Engineer
82144,Marek,Dusink,1990-05-11,Senior Staff
82145,Zhongwei,Pagter,1999-12-13,Staff
82151,Keiichiro,Terekhov,2000-05-15,Senior Staff
82162,Shigeo,Kroft,1993-06-06,Senior Engineer
82187,Stevo,Marakhovsky,1993-04-13,Senior Staff
82194,Geoff,Eastman,1991-05-25,Senior Engineer
82206,Yishay,Majewski,2001-11-29,Senior Engineer
82211,Sugwoo,Melter,1988-09-18,Senior Engineer
82222,Sampalli,Luit,1998-06-13,Senior Engineer
82227,Xiaocheng,Sethi,1999-04-26,Senior Engineer
82234,Christoper,Woycyznski,1993-08-19,Senior Engineer
82237,Shen,Zaccaria,1995-03-14,Senior Staff
82252,Kwangyoen,Edelhoff,2000-10-31,Senior Engineer
82255,Amabile,Sudbeck,1993-04-30,Senior Staff
82257,Hugo,Linares,1998-04-14,Engineer
82263,Vishv,Haumacher,1996-07-03,Staff
82276,Frederique,Genin,1997-01-06,Senior Staff
82278,Tomokazu,Murillo,1986-01-15,Senior Staff
82295,Manohar,Parfitt,2000-01-20,Engineer
82305,Mahmut,Biros,1997-01-18,Senior Engineer
82309,Hideyuki,Ramsak,1995-01-19,Senior Staff
82310,Jinxi,Panangaden,1990-02-21,Senior Engineer
82318,Branimir,Hashii,1994-03-20,Senior Staff
82324,Ashish,Knightly,1997-03-16,Staff
82339,Jeanna,Schrift,1988-01-15,Senior Engineer
82349,Tsz,Birjandi,1996-08-17,Senior Staff
82350,Nahla,Stifter,1995-07-19,Senior Engineer
82354,Badri,Trogemann,1999-09-05,Senior Staff
82367,Miyeon,Halloran,1997-10-28,Staff
82371,Frederique,Erev,1986-05-17,Senior Staff
82379,Sanjai,Bala,1994-03-15,Senior Engineer
82385,Sanjai,Biran,1998-11-18,Staff
82388,Munehiko,Zucker,2000-04-17,Senior Engineer
82391,Mayuko,McAffer,1995-12-20,Senior Staff
82397,Mart,Peris,1994-04-11,Senior Staff
82419,Karoline,Rindone,1996-07-05,Senior Engineer
82422,Tesuya,Falby,1994-03-19,Senior Staff
82434,Bojan,Mullainathan,2001-08-14,Senior Engineer
82443,Vincent,Perry,1994-02-14,Senior Engineer
82457,Vidar,Pauthner,1996-04-13,Senior Engineer
82460,Claude,Zhang,1992-05-09,Senior Engineer
82478,Vishwani,Ginneken,1991-03-19,Senior Engineer
82491,Lalit,Lorho,1999-05-20,Engineer
82495,Jahangir,Perly,1999-08-04,Staff
82530,Ioana,Morton,1999-05-06,Senior Staff
82540,Aleksander,Bratten,2000-11-14,Senior Engineer
82544,Eberhardt,Keirsey,1997-04-05,Senior Staff
82553,Barry,Georgakopoulos,1996-03-25,Staff
82555,Fabrizio,Kavraki,1995-04-14,Senior Engineer
82557,Cheong,McClure,1996-08-17,Technique Leader
82566,Mary,Portugali,2000-03-03,Senior Engineer
82568,Giri,Flanders,1993-05-08,Senior Staff
82571,Padma,Argence,1998-04-01,Senior Engineer
82572,Moie,Brattka,1993-04-01,Senior Staff
82573,Genevieve,Berendt,1998-05-19,Staff
82585,Berry,Bodoff,1991-06-28,Senior Staff
82591,Ugo,Lampe,1993-08-07,Senior Engineer
82595,Valdiodio,Zeleznik,2000-06-02,Senior Staff
82598,Palash,Chenoweth,1992-05-25,Senior Engineer
82601,Munehiko,Nitto,1996-08-18,Senior Engineer
82626,Adit,Reeken,1997-11-01,Senior Engineer
82634,Volkmar,Plesums,1986-01-27,Technique Leader
82644,Kellyn,Pleszkun,1999-08-23,Senior Engineer
82646,Shugo,Plump,1999-05-03,Senior Engineer
82668,Feipei,Menhardt,1986-05-23,Senior Staff
82678,Poorav,Haldar,1997-06-21,Senior Engineer
82683,Pantung,Dayang,2002-03-19,Senior Staff
82689,Zijian,Crouzet,1995-12-26,Senior Engineer
82704,Marla,Lunn,1994-01-14,Senior Engineer
82705,Ingmar,Ladret,1993-06-16,Senior Staff
82708,Rajmohan,Basagni,1993-03-08,Senior Staff
82721,Arvind,Showalter,1997-04-25,Senior Staff
82737,Kien,Mamelak,1994-02-01,Technique Leader
82747,Kankanahalli,Danlos,1995-01-21,Engineer
82751,Nirmal,Haumacher,1995-08-08,Senior Engineer
82760,Weiwu,Dulay,1992-12-11,Senior Engineer
82761,Mabry,Underwood,1995-01-22,Senior Staff
82774,Aral,Maierhofer,1996-02-28,Senior Staff
82808,Sumant,Reinhart,1985-09-11,Senior Engineer
82812,Heather,Morrey,1986-01-22,Senior Engineer
82815,Alper,Ranum,1997-05-25,Senior Engineer
82821,Bokyung,Cappelletti,1987-02-17,Senior Engineer
82823,Geraldo,Alvarado,1992-11-21,Senior Engineer
82834,Kersti,Lieblein,1991-06-05,Senior Engineer
82835,Jaber,Dredge,1995-04-17,Senior Engineer
82849,Makato,VanScheik,1992-10-12,Senior Staff
82856,Hidefumi,Erez,1993-07-02,Senior Engineer
82858,True,Taubman,1995-06-25,Senior Staff
82875,Domenick,Terekhov,1994-10-21,Senior Staff
82886,Rayond,Pettis,1998-04-29,Senior Engineer
82893,Junsik,Unni,1995-07-21,Senior Staff
82895,Ramya,Peck,1999-01-25,Senior Engineer
82905,Domenick,Luks,1991-08-19,Senior Engineer
82911,Irena,Bierman,1999-11-05,Staff
82944,Alois,Gomatam,1993-02-18,Technique Leader
82970,Qiwen,Servieres,2001-12-26,Senior Staff
82979,Magdalena,Yeung,1999-03-24,Technique Leader
82981,Fayez,Mitina,1996-01-30,Senior Engineer
82992,Jixiang,Marwedel,1995-11-12,Senior Engineer
82996,Shahab,Ramras,1994-11-07,Senior Engineer
82998,Mary,Linares,1990-03-26,Senior Staff
83000,Apostol,Talmor,1993-08-26,Senior Engineer
83009,Francesca,Gerteisen,1993-01-15,Senior Staff
83018,Ohad,Kitsuregawa,1994-12-21,Senior Engineer
83035,Mart,Lamparter,1992-05-09,Technique Leader
83039,Yonghong,Facello,2001-06-15,Senior Staff
83052,Henk,Whitcomb,1996-09-30,Engineer
83055,Kwun,Luon,1999-06-02,Staff
83056,Muneo,Pesch,1994-05-24,Senior Engineer
83057,Niteen,Passafiume,1993-12-19,Senior Staff
83068,Cristinel,Kawashima,2000-10-27,Senior Engineer
83092,Bernt,Kranzdorf,1993-04-20,Senior Engineer
83106,Limsoon,Wossner,1997-10-19,Senior Engineer
83123,Aemilian,Randt,1997-09-01,Staff
83125,Frederique,Staudhammer,1993-05-12,Senior Engineer
83143,Luisa,Krupka,1999-04-19,Senior Engineer
83167,Nagui,Chachaty,1997-07-14,Senior Staff
83168,Yechiam,Danner,1993-07-07,Senior Staff
83179,Jaques,Ermel,1997-08-31,Senior Staff
83189,Kristian,Birrer,1996-01-07,Senior Engineer
83194,Vidar,Bridgland,2002-01-30,Senior Staff
83210,Seongbae,Zockler,2002-02-03,Senior Engineer
83230,Jaana,Lammel,1997-11-11,Senior Engineer
83232,Satyanarayana,Chimia,1996-06-21,Senior Engineer
83233,Kerryn,Giarratana,1996-12-03,Engineer
83244,Constantine,Hiroyama,1992-09-17,Senior Staff
83260,Premsyl,Markovitch,1987-06-25,Senior Staff
83284,Genta,Ghalwash,1991-12-12,Senior Engineer
83294,Gudjon,Petersohn,1997-06-21,Technique Leader
83296,Pascal,Lorin,1987-04-26,Technique Leader
83304,Lenore,Pocchiola,1990-09-14,Senior Staff
83310,Tsvetan,Valette,1998-05-02,Senior Engineer
83326,Rajmohan,Schlegelmilch,1994-06-01,Senior Engineer
83328,Ute,Demri,1998-08-30,Senior Engineer
83334,Arno,Thebaut,1985-05-31,Senior Staff
83336,Ewing,Zongker,1999-01-06,Staff
83342,King,Piancastelli,1999-06-09,Engineer
83348,Bokyung,Kuszyk,1986-09-16,Senior Engineer
83356,Vishwani,Begiun,1997-03-20,Senior Engineer
83375,Anestis,Kenevan,1998-05-19,Assistant Engineer
83381,Dietrich,Borovoy,1995-05-07,Senior Engineer
83385,Berry,Falco,1997-05-09,Senior Staff
83392,Evgueni,Junet,1996-03-29,Senior Engineer
83408,Brewster,Pettey,1999-01-31,Senior Engineer
83411,Tonny,Swiss,1996-05-15,Senior Staff
83436,Ult,Serdy,1999-09-07,Assistant Engineer
83443,Shigeu,Nooteboom,1994-07-14,Senior Engineer
83448,Heping,Polajnar,1999-05-20,Senior Staff
83468,Charlene,Beilner,1998-04-09,Staff
83476,Steve,Porenta,1998-10-22,Senior Staff
83477,Jayson,Frijda,1998-10-11,Engineer
83478,Goa,Budinsky,1986-04-06,Senior Staff
83493,Oksana,Danlos,1985-05-30,Senior Engineer
83506,Mohamadou,Lamma,1994-07-01,Senior Engineer
83507,Shugo,Chimia,1995-08-22,Senior Staff
83515,Fay,Collavizza,1987-12-30,Senior Engineer
83531,DAIDA,Pezzoli,1996-02-22,Senior Staff
83540,Rafail,Andreotta,1988-09-10,Technique Leader
83546,Maha,Kawashimo,1991-04-12,Senior Engineer
83557,Elvis,Candan,1995-04-09,Engineer
83559,Mircea,Schmittgen,1996-06-29,Engineer
83565,Nevio,Beidas,1995-06-09,Senior Staff
83573,Slavian,Thummel,1992-04-15,Senior Engineer
83574,Gonzalo,Masamoto,1994-10-10,Senior Staff
83576,Mayumi,Cronan,1994-12-19,Senior Engineer
83583,Guadalupe,Sethi,1993-01-19,Senior Staff
83584,Bojan,Weiland,2000-02-15,Senior Engineer
83585,Susuma,Himler,1993-12-03,Senior Engineer
83592,Georgy,Baek,1998-02-01,Senior Engineer
83595,Divine,Koshino,1993-03-25,Senior Engineer
83600,Muzhong,Mayerwieser,1994-07-29,Senior Engineer
83614,Takanari,Schach,1992-10-05,Senior Engineer
83626,Reuven,Maccarone,1987-02-01,Technique Leader
83629,Tamiya,Fabrizio,1987-06-10,Senior Engineer
83634,Danae,Randi,1993-06-24,Senior Staff
83643,Jinxi,Tsukune,1998-11-09,Engineer
83650,Mariangiola,Raoux,1997-03-13,Senior Engineer
83669,Kasidit,Zlotek,1986-09-07,Senior Engineer
83698,Adib,Krohn,1985-11-17,Senior Staff
83699,Fayez,Luby,1999-06-09,Senior Staff
83715,Zeydy,Steinauer,1996-10-16,Engineer
83730,Dharmaraja,Lorie,1985-12-20,Senior Staff
83747,Kristine,Schwabacher,1990-08-26,Senior Staff
83748,Hyuncheol,Molberg,2000-07-29,Engineer
83753,Sachar,Liedekerke,1999-03-04,Engineer
83756,Constantijn,Esposito,1995-06-13,Senior Engineer
83757,Radhia,Zielinski,1995-03-20,Senior Engineer
83768,Mark,Ariola,1995-03-05,Senior Staff
83778,Premsyl,Nitto,1994-04-14,Senior Staff
83787,Xuejia,Lanzelotte,1993-08-19,Senior Staff
83792,Otmar,Nishimukai,2001-10-08,Senior Staff
83797,Kazuhisa,Fontan,1997-12-04,Senior Staff
83798,Shigeo,Kropp,1994-11-09,Senior Engineer
83804,Iara,Kragelund,1997-02-06,Senior Engineer
83806,Froduald,Kumaresan,1999-08-23,Senior Engineer
83808,Danel,Setiz,1995-01-23,Senior Staff
83822,Menkae,Haddadi,1996-09-06,Senior Engineer
83829,Cristinel,Zielinski,1995-03-15,Senior Staff
83845,Franziska,Chleq,1995-02-26,Senior Staff
83849,Shaleah,Schwartzburd,1997-01-19,Senior Engineer
83850,Mooi,Bugaenko,1994-04-17,Senior Staff
83856,Udi,Ernst,1998-06-04,Senior Staff
83858,Gregory,Matzke,1995-12-14,Engineer
83873,Jaihie,Bednarek,1994-04-14,Senior Staff
83875,Neelam,Herber,1995-09-17,Senior Staff
83881,Gino,Michaels,1995-05-09,Engineer
83887,Doohun,Ciolek,1994-03-17,Senior Staff
83895,Hyuncheol,Pettey,1988-03-27,Technique Leader
83898,Erzsebet,England,1985-09-04,Technique Leader
83905,Alejandra,Savasere,1992-05-12,Senior Staff
83910,Zdislav,Flexer,1988-12-25,Technique Leader
83913,Xuejia,Mitsuhashi,1991-12-22,Senior Engineer
83923,Bedir,Garnham,1996-02-13,Engineer
83928,Paraskevi,Apsitis,1987-10-30,Senior Staff
83934,Mabhin,Edelhoff,2000-12-13,Senior Engineer
83947,Lucien,Usdin,1991-10-20,Senior Engineer
83949,Tomokazu,Biran,1998-01-13,Engineer
83968,Giap,Rando,1993-08-31,Senior Engineer
83977,Masali,Yetim,1993-03-19,Senior Staff
83980,Zhigen,Vrecion,1994-06-24,Senior Engineer
83984,Mingsen,Pluym,1998-05-05,Staff
83986,Danae,Cusworth,1993-04-08,Senior Staff
83988,Georg,Kruskal,1991-04-16,Senior Staff
84000,Val,Antonakopoulos,1989-07-05,Senior Engineer
84001,Badri,Facello,2001-06-20,Senior Engineer
84012,Marko,Salvesen,1995-10-02,Engineer
84021,Parviz,Bierbaum,1992-08-01,Senior Staff
84025,Ugo,Ariola,1987-01-20,Technique Leader
84042,Gita,Maraist,1993-09-15,Senior Staff
84048,Lillian,Portugali,1985-06-21,Technique Leader
84051,Kirk,Taubman,1999-07-11,Staff
84059,Lidong,Hofting,1995-06-07,Senior Engineer
84061,Khaled,Gopalakrishnan,1992-07-31,Senior Staff
84062,Shuichi,Comyn,1994-07-17,Senior Engineer
84066,Jianhui,Thambidurai,1994-08-15,Senior Engineer
84093,Masamitsu,Cronau,1996-02-11,Engineer
84095,Ziyad,Boudaillier,1997-09-29,Senior Staff
84098,Shalesh,Merle,1994-03-23,Senior Staff
84114,Gaetan,Naudin,2001-08-26,Senior Engineer
84137,Genevieve,Baik,1995-10-18,Senior Staff
84138,Jovan,Maginnis,1992-09-09,Senior Engineer
84144,Radhia,Wursthorn,1987-03-24,Senior Staff
84160,Jaideep,Sherertz,1995-08-16,Staff
84188,Serenella,Holburn,1996-11-05,Senior Engineer
84202,Atreye,Serre,1993-10-29,Senior Engineer
84214,Van,Chaudhuri,1996-05-13,Engineer
84219,DeForest,Vuskovic,2000-07-02,Senior Staff
84242,Tremaine,Panienski,1995-10-04,Senior Staff
84255,Ramalingam,Nations,1993-06-05,Senior Staff
84260,Gunilla,Boreale,1991-11-09,Technique Leader
84263,Jackson,Henseler,1998-09-20,Senior Staff
84268,Kazuhira,Belinskaya,1992-05-22,Senior Engineer
84282,Saddek,Mateescu,1996-03-10,Engineer
84283,Gal,Slaats,1999-06-10,Engineer
84292,Leaf,Luff,1990-11-03,Senior Engineer
84305,Minghong,Kalloufi,1986-06-26,Senior Engineer
84318,Shin,Lally,1996-01-01,Senior Staff
84322,Berto,Gide,1999-09-29,Engineer
84331,Ziyad,Rousseau,1999-11-10,Staff
84334,Zdislav,Emden,1990-10-29,Senior Staff
84340,Moriyoshi,Granlund,1997-08-15,Senior Staff
84353,Genta,Pesch,1999-06-02,Staff
84362,JoAnne,Maccarone,1989-06-12,Technique Leader
84370,Fei,Reghbati,1986-03-08,Senior Staff
84382,Harjit,Wallrath,1987-10-18,Senior Engineer
84388,Chikako,Sifakis,2001-10-14,Engineer
84393,Marke,Yemenis,1990-04-23,Senior Staff
84407,Chaoyi,Plessier,1998-01-17,Senior Staff
84408,Itzchak,Kruskal,1995-12-01,Senior Staff
84412,Somnath,Delgrande,1987-06-28,Senior Staff
84416,Satosi,Lanphier,1997-10-19,Senior Staff
84419,Hailing,Foote,1986-04-21,Senior Engineer
84421,Lokesh,Schaar,2001-09-24,Senior Engineer
84427,IEEE,Valiente,1985-04-08,Senior Engineer
84459,Amalendu,Barreiro,1998-11-13,Engineer
84475,Kien,Erni,1997-03-01,Assistant Engineer
84487,Apostol,Hashii,1992-12-16,Senior Engineer
84502,Murthy,Tomescu,1999-02-01,Engineer
84510,Matt,Leaver,1988-03-17,Technique Leader
84552,Pramod,Sidou,1999-04-29,Engineer
84553,Ekawit,Lamparter,1986-07-31,Senior Engineer
84568,Denny,Peltason,1989-02-22,Senior Engineer
84578,Shigeaki,Chorvat,1992-10-08,Senior Staff
84587,Sangeeta,Bressoud,1989-01-09,Senior Engineer
84596,Poornachandra,Picht,1986-05-26,Technique Leader
84600,Sham,Chachaty,1994-05-02,Senior Engineer
84606,Gully,Kawashimo,1993-02-17,Senior Engineer
84626,Yonghong,Pena,1997-01-22,Engineer
84629,Heon,Kaltofen,1986-12-18,Senior Staff
84656,Danai,Lubachevsky,1991-09-27,Senior Engineer
84662,Sanjeeva,Kalafatis,1999-10-04,Senior Staff
84671,Lenore,Dalphin,1993-03-27,Senior Engineer
84672,Mihalis,Lamparter,1988-07-29,Senior Staff
84685,Alejandra,Jullig,1992-07-13,Senior Engineer
84686,Rosli,Vieri,1995-07-23,Senior Engineer
84707,Odinaldo,Ushiama,2001-08-27,Senior Engineer
84720,Akemi,Champarnaud,1996-02-07,Senior Staff
84722,Hercules,Slutz,1990-12-11,Senior Engineer
84725,Zejun,Boyle,1996-09-15,Senior Engineer
84734,Khedija,Kadhim,1993-07-26,Senior Engineer
84743,Juichirou,Picaronny,1998-07-30,Assistant Engineer
84747,Yoshinari,Felcyn,1988-12-06,Senior Staff
84748,Jianhao,Crelier,1997-08-02,Engineer
84758,Toong,Usery,1994-07-10,Senior Engineer
84773,Naraig,Frolund,1995-02-07,Senior Engineer
84797,Tadanori,Baig,1985-08-27,Technique Leader
84809,Hironoby,Zobel,2002-06-03,Senior Engineer
84821,Magy,Vieri,1998-05-07,Senior Staff
84827,Moheb,Schmittgen,1998-06-23,Engineer
84849,Kenroku,Carrera,1994-01-26,Senior Engineer
84860,Paris,Angot,1992-07-21,Senior Engineer
84883,Vishv,Khalil,2001-08-06,Senior Staff
84901,Lucien,Peak,1995-10-28,Staff
84907,Miomir,Smailagic,1987-11-22,Senior Staff
84910,Kaijung,Mondadori,1998-09-18,Senior Staff
84916,Saddek,Jiafu,1992-06-27,Senior Staff
84917,Rafael,Fetvedt,1996-04-26,Engineer
84931,Basem,Sommer,1996-11-16,Senior Staff
84933,Sailaja,Plessier,1987-08-28,Senior Engineer
84943,Hugo,Benantar,1997-11-02,Senior Engineer
84945,DeForest,Hinsberger,1992-04-29,Senior Staff
84974,Baocai,Pell,1993-06-06,Technique Leader
84976,Eran,Perez,1994-11-29,Senior Staff
84982,Gino,Biron,1992-02-04,Senior Staff
84983,Shigeo,Bashian,1992-07-09,Senior Engineer
84994,Seongbae,Haraldson,1993-05-02,Senior Staff
84999,Turgut,Koblitz,1996-10-04,Senior Staff
85007,Tze,Hiyoshi,1995-10-19,Senior Staff
85015,Lijia,Lipner,2002-01-21,Senior Staff
85017,Falguni,Swiler,1991-07-12,Senior Staff
85018,Marjo,Billingsley,1996-01-24,Engineer
85020,Tiina,Peir,1994-03-27,Senior Staff
85024,Zeydy,Hmelo,1987-12-24,Senior Staff
85028,Ebru,Heydon,1998-01-20,Senior Staff
85033,Garnet,Luke,1991-04-03,Senior Staff
85040,Chikako,Legleitner,2000-02-11,Senior Staff
85057,Charlene,Sadowsky,1995-05-17,Senior Engineer
85062,Vasilis,Luks,1988-08-13,Senior Engineer
85079,Shan,Wossner,1994-09-19,Senior Staff
85080,Munir,Hofmeyr,2001-05-05,Senior Engineer
85096,Xinglin,Feinberg,1998-02-08,Engineer
85109,Ottavia,Rebaine,1998-12-14,Assistant Engineer
85111,Sastry,Kavraki,1994-05-10,Senior Staff
85119,Xiaobin,Himler,1987-12-01,Senior Staff
85139,Joydip,Tagansky,1995-03-18,Senior Staff
85146,Hironobu,Nittel,1997-07-25,Senior Staff
85150,Olivera,Cangellaris,1997-04-05,Senior Engineer
85154,Moss,Narahara,1993-04-24,Senior Staff
85159,Kendra,Buescher,2000-06-06,Senior Staff
85173,Stepehn,Coombs,1997-01-26,Senior Staff
85184,Gretta,Peng,2001-06-10,Senior Engineer
85195,Jiafu,Quadeer,1995-11-12,Senior Staff
85199,Souichi,Barbanera,1999-12-16,Engineer
85200,Ebbe,Serna,1996-05-18,Senior Engineer
85202,Guttorm,Erdi,1990-09-17,Senior Engineer
85204,Moni,Silva,1999-12-27,Senior Staff
85206,Shahar,Navazio,1986-01-22,Technique Leader
85210,Yolla,Openshaw,1987-01-20,Senior Staff
85215,Along,Detkin,1995-08-03,Senior Staff
85219,Anyuan,Zaiane,1999-01-31,Senior Engineer
85220,Kristin,Lipner,1994-01-25,Senior Staff
85225,Felicidad,Dulli,1997-07-28,Staff
85230,Gal,Demke,1998-08-29,Staff
85241,Martijn,Falck,1995-08-23,Senior Staff
85242,Kirk,Ernst,1999-09-01,Staff
85256,Odinaldo,Kroha,2001-09-12,Senior Engineer
85258,Elzbieta,Schwabacher,1988-06-27,Senior Engineer
85264,Annemarie,Silva,2002-01-05,Senior Engineer
85267,Masaru,Winter,1990-01-21,Senior Staff
85278,Kamakshi,Karnin,1988-11-19,Senior Engineer
85281,Tamiya,Grospietsch,1991-08-09,Senior Engineer
85295,Zvonko,Kroon,2001-09-15,Senior Engineer
85300,Panayotis,Domenig,1986-11-27,Technique Leader
85318,Navid,Hanratty,1989-07-15,Senior Engineer
85325,Nagui,Kadhim,1988-07-14,Technique Leader
85328,Kien,Kitsuregawa,1997-06-12,Senior Engineer
85344,Owen,Dayana,1996-01-20,Senior Staff
85347,Heeju,Prochazka,1986-08-04,Senior Staff
85353,Kien,Tasistro,1995-08-03,Senior Staff
85371,Suebskul,Lanphier,1995-08-29,Senior Staff
85374,Hairong,Herber,1992-07-02,Technique Leader
85377,Ishfaq,Vecchio,2000-04-25,Senior Engineer
85385,Alper,Bennis,1993-03-24,Senior Staff
85391,Aleksander,Glinert,1997-01-02,Staff
85394,Sastry,Conta,1994-10-20,Senior Engineer
85406,Serap,Matzke,1996-10-07,Senior Staff
85416,Haldun,Melton,1993-07-30,Senior Engineer
85433,Eberhardt,Stanfel,1986-03-18,Senior Engineer
85463,Kyoichi,Picht,1996-02-03,Engineer
85469,Sasan,Schmiedel,1994-06-23,Senior Engineer
85470,Domenick,Mahmud,1985-02-10,Technique Leader
85489,Adas,Zwicker,1988-09-12,Senior Staff
85494,Lech,Gulik,1992-08-16,Senior Staff
85504,Ghassan,Streit,1990-04-08,Senior Engineer
85513,Yagil,Spieker,1994-04-11,Senior Staff
85524,Lillian,Tokunaga,2001-12-21,Senior Engineer
85525,Chenyi,Schlenzig,1992-01-24,Senior Staff
85526,Tzvetan,Frolund,1987-12-19,Senior Engineer
85532,Jinxi,Imataki,1993-03-04,Senior Engineer
85537,Tzu,Bernatsky,1995-05-26,Senior Staff
85551,Mohit,Perry,1998-08-04,Technique Leader
85552,Atilio,Perko,1985-09-06,Senior Engineer
85555,Parke,Morrow,1999-07-14,Engineer
85570,Shigehito,Karlin,1995-04-05,Senior Staff
85575,Kiyotoshi,Matzov,1997-05-31,Senior Staff
85577,Deniz,Sadowski,1998-06-12,Staff
85583,Sanjeeva,Hiyoshi,1999-08-24,Engineer
85589,Amstein,Bressoud,1985-12-13,Senior Engineer
85607,Yucai,Hertweck,1997-08-21,Senior Engineer
85609,Otmar,Benner,1998-05-11,Senior Engineer
85620,Yoshinari,Chvatal,1997-12-30,Senior Staff
85621,Steen,Peha,1993-10-04,Senior Staff
85622,Berthier,Dengi,1998-07-02,Staff
85624,Ayonca,Keustermans,1993-06-15,Senior Staff
85631,Munehiro,Murtagh,1993-07-31,Senior Staff
85633,Salvador,Snedden,1994-04-30,Senior Staff
85641,Breannda,Buescher,1994-05-10,Senior Staff
85645,Henk,Ashish,1994-12-11,Assistant Engineer
85647,Kristian,Waymire,1993-11-25,Senior Staff
85669,Yishay,Denis,1996-02-08,Senior Engineer
85675,Ziya,Spell,1987-08-22,Technique Leader
85692,Marin,Petersohn,1995-11-06,Senior Engineer
85696,Wuxu,Mitzlaff,1998-08-11,Senior Staff
85708,Steen,Otillio,1999-05-23,Senior Engineer
85719,Satosi,Rosti,1998-01-17,Senior Staff
85739,Fumino,Benzaken,1985-09-15,Senior Engineer
85743,Ramalingam,Wissmann,1999-05-27,Senior Staff
85755,Aloys,Ozeri,1993-06-01,Senior Staff
85757,Kannan,Bach,2000-03-04,Senior Staff
85761,Kazuyasu,Hofting,2000-01-26,Engineer
85775,Georgy,Engberts,1999-03-21,Senior Engineer
85776,Dante,Reutenauer,1991-05-01,Senior Staff
85784,Nechama,Cronau,1992-10-25,Senior Staff
85786,Rafail,Chaudhuri,1997-09-24,Senior Staff
85796,Honglan,Boissier,1998-01-17,Staff
85799,Radhika,Parveen,1998-03-03,Senior Staff
85811,Dayanand,Bain,2002-06-13,Senior Engineer
85812,Seshu,Erbe,1993-11-19,Senior Engineer
85825,Hongzhu,Zedlitz,2000-04-25,Senior Staff
85827,Basant,Schach,1994-01-16,Senior Staff
85835,Pantung,Gyorkos,1996-10-07,Senior Engineer
85840,Kazuhiko,Reinhart,1998-11-11,Engineer
85850,Leszek,Usdin,1988-02-20,Senior Engineer
85866,Dinkar,Baek,2001-09-24,Senior Staff
85876,Kellyn,Merks,1995-04-20,Engineer
85883,Takahito,Reghbati,1999-06-30,Engineer
85892,Rasikan,Binkley,1997-03-14,Engineer
85894,Teunis,Eugenio,1996-08-29,Senior Engineer
85899,Chinhyun,Zaiane,1996-09-11,Senior Staff
85901,Tommaso,Hagimont,2001-07-22,Senior Staff
85910,Nishit,Lemarechal,1992-08-09,Senior Staff
85913,Anwar,Rehfuss,1995-01-06,Senior Engineer
85924,Gita,Menhardt,1994-06-18,Senior Engineer
85939,Xinyu,Schlegelmilch,1986-12-03,Senior Staff
85941,Sampalli,Lunt,1992-07-22,Senior Staff
85942,Jaber,Sankaranarayanan,1998-12-17,Engineer
85949,Thodoros,Penttonen,1999-04-18,Senior Engineer
85958,Fusako,Vadhan,1993-12-05,Senior Staff
85968,Idoia,Lorch,1996-04-10,Technique Leader
85988,Aiichiro,Brlek,1996-12-12,Senior Staff
85990,Saeko,Jakobus,2001-11-27,Senior Engineer
85999,Arch,Dymetman,1987-07-21,Senior Staff
86003,Khaled,Zielinski,1993-02-20,Senior Engineer
86005,Sahrah,Samarati,2000-01-16,Senior Staff
86014,Maris,Zeilberger,1985-04-16,Technique Leader
86016,Eldridge,Compeau,1997-03-08,Engineer
86023,Yuqun,Braunschweig,1993-09-30,Senior Staff
86029,Yuguang,Cronau,1988-05-29,Senior Engineer
86037,Khaled,Badache,2000-01-15,Staff
86045,Leah,Kavanagh,1997-07-24,Engineer
86047,Ebru,Suppi,1998-07-20,Engineer
86052,Hidekazu,Badache,1993-01-26,Senior Staff
86060,Arvind,Luce,1993-10-06,Senior Staff
86062,Zengping,Anido,1999-09-09,Senior Staff
86065,Suebskul,Fetvedt,1993-09-21,Senior Engineer
86070,Diederik,Restivo,1986-04-11,Senior Engineer
86071,Premsyl,Kavvadias,1998-08-04,Staff
86074,Susanne,Zirintsis,1997-01-03,Senior Staff
86081,Valery,Iwayama,2002-07-19,Senior Staff
86082,Marsha,Redmiles,1994-12-14,Senior Staff
86083,Parke,Spell,1986-09-30,Senior Engineer
86111,Flemming,Mondadori,1994-07-11,Senior Engineer
86139,Arif,Lichtman,1994-09-24,Senior Staff
86155,Tadahiko,Luke,1985-02-08,Technique Leader
86157,Kwangsub,Demizu,1996-05-11,Engineer
86164,Adit,Rothe,1998-12-13,Senior Staff
86175,Marc,Herbst,1996-02-28,Senior Engineer
86178,Sakthirel,Krogh,1994-07-06,Senior Staff
86183,Takahiro,Baja,1994-09-01,Senior Engineer
86196,Ugo,Cincotta,1998-12-22,Staff
86211,Shih,Vanwelkenhuysen,1993-05-16,Senior Engineer
